"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
23.07.2020;795038;580330;12892;147;5848;8277;5848;147
03.07.2021;5585799;5053417;137262;697;24439;17899;24439;697
18.07.2020;765437;546863;12247;124;6234;7490;6234;124
09.05.2021;4880262;4496132;113326;334;8419;7517;8419;334
27.05.2020;370680;142208;3968;161;8338;11079;8338;161
10.06.2022;18369557;17786254;379883;70;3678;4332;3678;70
10.12.2022;21658056;21055866;392560;54;7397;6446;7397;54
09.07.2022;18458813;17886064;381544;45;3539;3086;3539;45
08.05.2020;187859;26608;1723;98;10699;2805;10699;98
05.05.2021;4847489;4464550;111895;360;7975;7506;7975;360
14.07.2020;739947;512825;11614;175;6248;8804;6248;175
07.07.2021;5682634;5121919;140041;725;23962;20067;23962;725
27.07.2020;818120;603329;13354;85;5635;3079;5635;85
05.07.2022;18445301;17873576;381354;48;2676;3612;2676;48
04.05.2020;145268;18095;1356;76;10581;1456;10581;76
31.05.2020;405843;171883;4693;138;9268;4414;9268;138
14.12.2022;21685037;21081129;392775;55;7532;7675;7532;55
14.06.2022;18382380;17801569;380137;61;2797;3324;2797;61
08.01.2023;21826982;21245559;394080;45;3127;3694;3127;45
23.07.2022;18524732;17933862;382118;38;6953;4803;6953;38
20.04.2020;47121;3446;405;44;4268;155;4268;44
14.06.2020;528964;280050;6948;119;8835;5409;8835;119
28.12.2022;21781026;21184777;393548;56;6202;8110;6202;56
27.05.2022;18315292;17719596;378784;84;4619;6064;4619;84
27.05.2021;5035207;4651849;120002;402;9039;9759;9039;402
04.07.2020;674515;446879;10027;168;6632;8986;6632;168
15.06.2021;5236593;4818244;127180;379;14185;8597;14185;379
06.08.2020;871894;676357;14606;116;5267;7331;5267;116
30.04.2021;4805288;4427946;110128;397;8731;8406;8731;397
25.09.2020;1136048;934146;20056;108;7212;4317;7212;108
06.03.2021;4312181;3900348;88726;441;11022;15027;11022;441
20.09.2020;1103399;909357;19418;79;6148;2895;6148;79
07.04.2022;17955120;17105946;370889;287;14355;35304;14355;287
24.03.2020;495;22;0;0;57;5;57;0
06.05.2022;18216719;17588067;376696;136;5541;9408;5541;136
28.03.2022;17783843;16689977;367686;335;21101;35746;21101;335
15.04.2020;24490;1986;198;28;3388;292;3388;28
16.05.2022;18264836;17652558;377759;89;4543;5379;4543;89
16.04.2021;4684148;4310557;104795;397;8995;9109;8995;397
13.10.2020;1326178;1031785;22966;244;13868;7550;13868;244
20.03.2021;4447570;4060652;94659;392;9632;11279;9632;392
02.09.2020;1005000;821169;17414;115;4952;5464;4952;115
31.07.2022;18601719;17975398;382433;38;12498;6056;12498;38
14.02.2022;14313965;11333044;340931;683;180456;97185;180456;683
24.09.2022;20746163;19710599;386662;111;51269;58412;51269;111
19.02.2022;15199720;12217942;344755;798;179147;191098;179147;798
04.11.2021;8673860;7477366;243255;1195;40217;31928;40217;1195
10.12.2020;2569126;2033669;45280;562;27927;25877;27927;562
18.09.2021;7254754;6485264;197425;799;20329;16247;20329;799
11.11.2020;1836960;1369357;31593;432;19851;18616;19851;432
13.10.2021;7861681;6916086;219329;984;28717;21801;28717;984
20.12.2020;2848377;2275657;50858;511;28948;20915;28948;511
10.10.2021;7775365;6858119;216415;962;28647;17274;28647;962
01.11.2020;1636781;1225673;28235;245;18665;10259;18665;245
14.08.2022;18881958;18136077;383125;54;28982;14942;28982;54
27.01.2022;11404617;10129691;328770;665;88816;29754;88816;665
10.09.2022;20013781;19023718;385262;97;53486;46023;53486;97
09.03.2022;17140069;14895083;358246;645;58675;92732;58675;645
01.12.2022;21597613;21003575;392060;58;6785;5865;6785;58
21.12.2021;10267719;9055199;299249;1027;25907;40219;25907;1027
29.09.2022;20948470;19979763;387163;109;38739;57937;38739;109
08.12.2021;9895597;8602067;284823;1179;30752;36976;30752;1179
20.07.2021;6006536;5382213;149922;784;23770;22218;23770;784
18.01.2021;3591066;2978764;66037;471;22857;18333;22857;471
28.08.2021;6863541;6131446;180840;799;19492;19411;19492;799
08.02.2021;3983197;3472091;77068;407;15916;15881;15916;407
03.08.2021;6334195;5659746;160925;788;22010;18963;22010;788
31.12.2020;3159297;2554340;57019;593;27747;28922;27747;593
14.08.2021;6579212;5867890;169683;819;22144;19550;22144;819
26.02.2021;4223186;3783386;85304;428;11086;15722;11086;428
09.11.2022;21477926;20876892;390774;62;5335;8492;5335;62
31.12.2021;10499982;9463919;308860;912;20638;40692;20638;912
21.10.2022;21354915;20693493;389359;93;9761;15672;9761;93
28.11.2021;9570373;8268111;272755;1224;33548;30646;33548;1224
28.08.2020;980405;798466;16914;110;4829;5905;4829;110
02.04.2021;4563056;4186251;99633;400;8792;9832;8792;400
18.10.2020;1399334;1070576;24187;185;15099;5377;15099;185
03.04.2021;4572077;4195869;100017;384;9021;9618;9021;384
13.05.2022;18250290;17633601;377464;105;4896;7257;4896;105
02.04.2020;3548;235;30;6;771;45;771;6
31.03.2022;17842925;16838787;368722;345;19277;50496;19277;345
25.04.2022;18144788;17483483;375061;159;7651;8855;7651;159
19.03.2020;199;5;0;0;52;0;52;0
18.04.2022;18084151;17390465;373713;213;9434;14324;9434;213
07.09.2020;1030690;843277;17871;51;5185;2328;5185;51
11.03.2021;4360823;3959533;90734;459;9270;14006;9270;459
08.10.2020;1260112;1002329;22056;191;11493;7054;11493;191
25.04.2021;4762569;4388008;108232;332;8780;7540;8780;332
19.08.2020;937321;749423;15989;117;4828;6795;4828;117
10.06.2021;5167949;4771995;125278;383;11699;10096;11699;383
21.06.2020;584680;339711;8111;109;7728;5119;7728;109
01.06.2021;5081417;4693579;121873;372;9500;8994;9500;372
07.06.2022;18358459;17772888;379657;73;3259;5135;3259;73
25.12.2022;21764292;21163398;393383;52;6595;6176;6595;52
09.06.2020;485253;242397;6142;171;8595;11709;8595;171
25.04.2020;74588;6250;681;66;5966;682;5966;66
12.07.2022;18468310;17894065;381669;48;3002;3209;3002;48
11.01.2023;21836969;21258733;394214;46;4201;5122;4201;46
17.06.2022;18391797;17815024;380333;63;3373;4228;3373;63
03.12.2022;21611003;21014391;392176;59;6669;5132;6669;59
18.05.2020;290678;70209;2722;91;8926;2836;8926;91
17.05.2020;281752;67373;2631;94;9709;4207;9709;94
02.07.2022;18436679;17865093;381216;51;3285;3488;3285;51
01.08.2020;845443;646524;14058;95;5462;8114;5462;95
24.06.2021;5388695;4915615;131463;568;20182;13505;20182;568
09.07.2020;707301;481316;10843;176;6509;8805;6509;176
18.05.2021;4957756;4572226;116575;364;8183;8972;8183;364
15.11.2021;9109094;7812287;256597;1211;38420;27702;38420;1211
26.10.2022;21394360;20751864;389790;80;7518;11517;7518;80
13.01.2022;10723305;9784348;319172;740;21155;25984;21155;740
04.11.2022;21453667;20841779;390459;71;6149;9259;6149;71
15.02.2021;4086090;3607036;80520;394;14207;13935;14207;394
17.08.2021;6642559;5918324;172110;805;20958;18407;20958;805
11.01.2021;3425269;2800675;62273;436;23315;21786;23315;436
31.07.2021;6265873;5608619;158563;792;23807;19771;23807;792
05.02.2021;3934606;3413495;75732;527;16688;23582;16688;527
08.09.2021;7065904;6320512;189582;797;18024;18262;18024;797
21.01.2021;3655839;3054218;67832;612;21887;26902;21887;612
09.07.2021;5733218;5165087;141501;726;25766;21832;25766;726
03.12.2021;9736037;8436631;278857;1217;32930;36514;32930;1217
12.10.2022;21248603;20500961;388509;105;15640;30409;15640;105
26.12.2021;10392020;9259771;304218;968;23721;37285;23721;968
18.11.2022;21525567;20932860;391333;60;5546;6888;5546;60
14.03.2022;17376241;15585650;361344;533;41055;105243;41055;533
28.08.2022;19405923;18495961;384083;83;46857;28223;46857;83
22.01.2022;11044986;10000577;325433;681;57212;25525;57212;681
27.08.2022;19359066;18467738;384000;90;47093;32642;47093;90
04.11.2020;1693454;1266931;29217;389;19768;15567;19768;389
29.09.2021;7487138;6653941;206388;857;22430;18456;22430;857
17.12.2020;2762668;2202540;49151;587;28214;26440;28214;587
24.10.2021;8241643;7165921;230600;1072;35660;22784;35660;1072
22.11.2020;2089329;1595443;36179;401;24581;18008;24581;401
15.09.2021;7194926;6435072;195041;792;18841;17039;18841;792
29.11.2020;2269316;1761457;39527;459;26683;21987;26683;459
07.11.2021;8795095;7561978;246814;1179;39165;26806;39165;1179
04.03.2022;16775024;14263191;354787;776;89174;160507;89174;776
19.09.2022;20488583;19425631;386136;91;49488;38595;49488;91
01.02.2022;11986913;10288582;332012;663;125836;40301;125836;663
05.08.2022;18672422;18019883;382651;47;18555;9817;18555;47
