"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
12.10.2020;1312310;1024235;22722;125;13592;3793;13592;125
13.04.2021;4657883;4281776;103601;338;8173;9611;8173;338
03.09.2020;1009995;826935;17528;114;4995;5766;4995;114
23.03.2021;4474610;4088045;95818;427;8457;10860;8457;427
28.09.2020;1159573;945920;20385;61;8135;2702;8135;61
01.05.2021;4814558;4436583;110520;392;9270;8637;9270;392
17.09.2020;1085281;895868;19061;144;5762;5754;5762;144
05.03.2021;4301159;3885321;88285;462;11024;15464;11024;462
12.04.2022;18018825;17271128;372245;281;10910;31271;10910;281
29.03.2020;1534;64;8;3;270;18;270;3
01.05.2022;18189401;17548718;376031;147;7047;8733;7047;147
27.12.2020;3050248;2450829;54778;552;28284;24390;28284;552
18.10.2021;8027012;7017055;224310;998;34325;16431;34325;998
25.10.2020;1513877;1138522;26050;229;16710;7704;16710;229
05.10.2021;7637427;6759059;211696;895;25110;18568;25110;895
28.01.2022;11502657;10159197;329443;673;98040;29506;98040;673
17.08.2022;18964246;18194750;383300;63;33106;22680;33106;63
08.03.2022;17081394;14802351;357601;649;66576;111756;66576;649
07.09.2022;19857571;18876316;384976;94;47958;52611;47958;94
11.02.2022;13731794;11021633;338813;722;203949;112236;203949;722
30.07.2022;18589221;17969342;382395;43;12248;6209;12248;43
22.02.2022;15657928;12657025;347031;796;135172;164293;135172;796
25.09.2022;20792921;19756507;386757;95;46758;45908;46758;95
05.12.2020;2431731;1916396;42684;508;28782;27644;28782;508
28.10.2021;8392697;7272053;235057;1159;40096;29318;40096;1159
16.11.2020;1948603;1453849;33489;303;22778;13864;22778;303
25.09.2021;7398415;6590933;203095;822;22041;16325;22041;822
01.01.2021;3186336;2580138;57555;536;27039;25798;27039;536
06.08.2021;6402564;5720353;163301;792;22660;20141;22660;792
25.02.2021;4212100;3767664;84876;446;11198;16102;11198;446
11.08.2021;6512859;5808777;167241;799;21571;20067;21571;799
07.01.2022;10618035;9645712;314604;787;16735;22035;16735;787
14.11.2022;21504530;20905977;391085;61;4578;4460;4578;61
21.11.2021;9331158;8024930;264095;1252;36970;32504;36970;1252
16.10.2022;21304554;20603845;388901;94;12354;18441;12354;94
16.12.2021;10131646;8876788;294024;1133;28486;37155;28486;1133
24.11.2022;21556766;20967429;391680;58;5784;6112;5784;58
13.12.2021;10046454;8769916;290604;1121;29558;28561;29558;1121
06.10.2022;21141674;20307569;387887;108;23045;41536;23045;108
15.01.2021;3520531;2909680;64495;555;24715;27636;24715;555
19.07.2021;5982766;5359995;149138;719;24633;18764;24633;719
11.02.2021;4027748;3538422;78687;553;15038;21961;15038;553
29.08.2021;6882827;6148250;181637;797;19286;16804;19286;797
26.04.2022;18151895;17495382;375237;176;7107;11899;7107;176
18.03.2020;147;5;0;0;33;0;33;0
17.04.2022;18074717;17376141;373500;233;10263;16496;10263;233
16.03.2021;4409438;4014220;92937;443;9393;10644;9393;443
14.09.2020;1068320;878700;18635;57;5509;2475;5509;57
20.04.2021;4718854;4343229;106307;379;8164;9631;8164;379
01.10.2020;1185231;964242;20891;169;8945;5985;8945;169
26.03.2021;4501859;4120161;97017;405;9167;10880;9167;405
23.08.2020;956749;770639;16383;73;4852;3162;4852;73
10.04.2021;4632688;4258279;102649;402;8704;9579;8704;402
23.10.2020;1480646;1119251;25525;283;17340;11263;17340;283
10.05.2022;18237227;17614371;377150;101;4531;5014;4531;101
05.04.2020;5389;355;45;2;658;22;658;2
03.04.2022;17896866;16965027;369708;304;16828;35695;16828;304
08.12.2022;21643194;21043426;392454;54;7430;6315;7430;54
24.06.2022;18412805;17839346;380776;65;3154;3225;3154;65
25.05.2020;353427;118798;3633;92;8946;5499;8946;92
10.05.2020;209688;34306;1915;88;11012;2390;11012;88
25.06.2022;18415877;17842800;380837;61;3072;3454;3072;61
27.06.2021;5451291;4956714;133282;599;20538;12728;20538;599
02.08.2020;850870;650173;14128;70;5427;3649;5427;70
15.05.2021;4931691;4547500;115480;364;8790;9866;8790;364
08.07.2020;700792;472511;10667;173;6562;8631;6562;173
09.06.2021;5156250;4761899;124895;399;10407;9814;10407;399
16.08.2020;922853;732968;15685;68;4969;3557;4969;68
02.06.2021;5090249;4702599;122267;394;8832;9020;8832;394
24.06.2020;606881;368822;8513;154;7176;12393;7176;154
18.12.2022;21716074;21109668;393000;51;7222;6338;7222;51
02.06.2022;18339776;17749960;379285;85;4262;4976;4262;85
04.06.2020;441108;204623;5384;169;8831;8666;8831;169
30.04.2020;106498;11619;1073;101;7099;1333;7099;101
17.07.2022;18490296;17908809;381881;46;4664;2483;4664;46
03.09.2021;6975174;6236738;185611;799;18856;18690;18856;799
29.01.2021;3813048;3255462;72185;534;19238;26204;19238;534
14.07.2021;5857002;5257483;145278;786;23827;21269;23827;786
28.01.2021;3793810;3229258;71651;575;19138;26775;19138;575
09.10.2022;21203332;20414224;388199;102;18819;28793;18819;102
02.12.2021;9703107;8400117;277640;1221;33389;35185;33389;1221
21.11.2022;21540891;20948088;391509;55;4662;4164;4662;55
27.12.2021;10415230;9293486;305155;937;23210;33715;23210;937
27.10.2022;21402209;20763904;389872;82;7849;12040;7849;82
18.11.2021;9219912;7919250;260335;1251;37374;36414;37374;1251
03.11.2022;21447518;20832520;390388;73;6375;9774;6375;73
10.01.2022;10666679;9706802;316904;741;15830;19890;15830;741
24.08.2021;6785374;6053503;177614;794;18833;18636;18833;794
20.02.2021;4151984;3697433;82876;480;12953;17484;12953;480
24.07.2021;6102469;5471956;153095;799;23947;21952;23947;799
06.01.2021;3308601;2685723;59951;445;24217;23055;24217;445
12.09.2021;7140070;6389657;192749;788;18554;14497;18554;788
21.11.2020;2064748;1577435;35778;467;24822;26021;24822;467
10.11.2021;8911713;7654161;250454;1239;38058;34565;38058;1239
30.11.2020;2295654;1778704;39895;368;26338;17247;26338;368
14.09.2022;20208878;19195104;385628;98;51735;50251;51735;98
25.02.2022;16052028;13139971;349365;787;123460;167310;123460;787
10.08.2022;18770657;18075720;382902;56;23771;14552;23771;56
08.02.2022;13147666;10706142;336721;698;165643;81188;165643;698
04.09.2022;19729423;18746698;384711;87;48042;35732;48042;87
19.03.2022;17551657;16135267;364058;495;32958;95558;32958;495
20.08.2022;19077674;18262350;383496;69;40010;24222;40010;69
17.01.2022;10834260;9878371;321990;670;30726;19756;30726;670
30.09.2021;7511026;6672767;207255;867;23888;18826;23888;867
07.11.2020;1753836;1312927;30251;364;20396;16803;20396;364
23.10.2021;8205983;7143137;229528;1075;37678;26077;37678;1075
14.12.2020;2681256;2124797;47391;450;27328;18562;27328;450
22.09.2022;20641559;19594562;386447;106;53457;57019;53457;106
17.02.2022;14840502;11828475;343173;790;180622;185082;180622;790
02.08.2022;18622103;17990048;382517;48;9560;8573;9560;48
16.02.2022;14659880;11643393;342383;748;179284;172468;179284;748
20.09.2021;7294672;6510674;198996;778;19744;11992;19744;778
13.11.2020;1880551;1406903;32443;411;21983;18735;21983;411
02.11.2021;8593200;7412631;240871;1178;39008;30905;39008;1178
